Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate
running,2015-10-30 16:05:25,false,Chappaqua Running,0.12,12,0:37.1,--,--,0,169,189,4:59,3:21,--,--,1.92,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-30 15:57:05,false,Chappaqua Running,0.54,57,3:02.0,--,--,0,170,179,5:39,4:59,--,--,1.68,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-30 15:52:06,false,Chappaqua Running,0.54,60,3:02.8,--,--,0,172,183,5:36,4:55,--,--,1.67,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-30 15:47:06,false,Chappaqua Running,0.53,57,3:03.2,--,--,0,168,179,5:47,5:01,--,--,1.66,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-19 16:11:45,false,Chappaqua Running,0.67,71,4:00.4,--,--,0,164,174,6:01,5:22,--,--,1.63,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-19 16:07:05,false,Chappaqua Running,0.64,68,3:59.6,--,--,0,167,174,6:13,5:56,--,--,1.55,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-19 16:02:24,false,Chappaqua Running,0.65,70,3:59.8,--,--,0,164,174,6:10,5:42,--,--,1.59,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-19 15:57:44,false,Chappaqua Running,0.66,71,4:00.9,--,--,0,165,173,6:03,5:25,--,--,1.62,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-19 15:53:08,false,Chappaqua Running,0.64,69,4:01.4,--,--,0,162,174,6:15,5:49,--,--,1.6,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-14 16:19:22,false,Chappaqua Running,0.7,75,4:01.0,--,--,0,171,188,5:46,5:07,15,19,1.63,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-14 16:12:18,false,Chappaqua Running,0.64,68,3:37.3,--,--,0,169,187,5:39,1:48,--,18,1.69,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-14 16:05:16,false,Chappaqua Running,0.69,75,4:01.3,--,--,0,167,187,5:49,4:51,18,18,1.65,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-14 15:58:16,false,Chappaqua Running,0.68,75,4:01.0,--,--,0,170,196,5:55,4:03,17,18,1.6,0,0,--,--,--,--,0,--,--,--,--,--,--
running,2015-10-13 15:52:49,false,Chappaqua Running,7.31,805,54:05,--,--,0,163,219,7:24,6:04,472,473,1.33,0,0,--,--,--,--,0,--,--,--,--,--,--
